timestamp,OP_UNIQUE_CARRIER,flights,cancellations,avg_dep_delay,flights_rolling_mean,cancellations_rolling_mean,delay_rolling_mean,flights_rolling_std,cancellations_rolling_std,delay_rolling_std,cancellation_spike_flag,delay_spike_flag
2025-10-01,AA,2470,0.0,7.839676113360324,,,,,,,,
2025-10-02,AA,2822,1.0,17.460475008862105,,,,,,,,
2025-10-03,AA,2595,1.0,11.670393215111796,,,,,,,,
2025-10-04,AA,2353,0.0,10.121546961325967,,,,,,,,
2025-10-05,AA,2818,0.0,11.687012065294535,2611.6,0.4,11.755820672790945,208.60800559901818,0.5477225575051661,3.555353440355479,false,false
2025-10-06,AA,2907,5.0,19.563899414398897,2699.0,1.4,14.100665332998659,225.3253203703481,2.073644135332772,4.14429051122321,true,true
2025-10-07,AA,2684,6.0,13.23665546845838,2671.4,2.4,13.255901424917914,214.6935024633955,2.8809720581775866,3.694273847851461,true,false
2025-10-08,AA,2691,0.0,13.850613154960982,2690.6,2.2,13.691945412887753,210.4027091080341,3.0331501776206204,3.5874716379694895,false,false
2025-10-09,AA,2961,2.0,19.48969246367016,2812.2,2.6,15.56557451335659,124.78661787227038,2.7928480087537886,3.7011318114958063,false,true
2025-10-10,AA,2948,0.0,23.942672998643147,2838.2,2.6,18.01670670002631,139.02769508267062,2.7928480087537886,4.468942663827112,false,true
2025-10-11,AA,2610,1.0,16.90954388654657,2778.8,1.8,17.485835594455846,163.56558317690198,2.489979919597747,4.396267669193761,false,false
2025-10-12,AA,2947,4.0,26.918450560652396,2831.4,1.4,20.22219461289465,167.69406668096528,1.6733200530681513,5.262819293049587,true,true
2025-10-13,AA,2941,19.0,30.445090660280535,2881.4,5.2,23.54109011395856,151.89239612304505,7.854934754662192,5.468644352827359,true,true
2025-10-14,AA,2685,5.0,16.938805970149254,2826.2,5.8,23.03091281525438,165.2927705618126,7.661592523751182,6.031152726575373,false,false
2025-10-15,AA,2691,2.0,12.437709185570844,2774.8,6.2,20.72992005263992,157.7345872026805,7.328028384224504,7.589648063069476,false,false
2025-10-16,AA,2963,3.0,17.163513513513514,2845.4,6.6,20.780713978033308,143.92637006469664,7.021395872616783,7.558473925380079,false,false
2025-10-17,AA,2955,0.0,15.448730964467005,2847.0,5.8,18.486770058796232,145.3753761818005,7.5960516059331775,6.945672237064554,false,false
2025-10-18,AA,2612,147.0,30.235008103727715,2781.2,31.4,18.444753547485664,165.28520804960132,64.64750575234902,6.8552952145639825,true,true
2025-10-19,AA,2950,35.0,23.809948542024014,2834.2,37.4,19.818982061860616,169.16766830573746,62.95474565114214,7.15987445927691,false,false
2025-10-20,AA,2948,5.0,21.221202854230377,2885.6,38.0,21.575680795592525,153.0565255061019,62.545983084447556,5.854662474499488,false,false
2025-10-21,AA,2681,4.0,12.208442286141203,2829.2,38.2,20.58466655011806,168.57550237208255,62.40753159675521,7.079471762700282,false,false
2025-10-22,AA,2691,4.0,13.139136904761905,2776.4,39.0,20.122747738177043,160.47211595788224,61.818282085480185,7.557561018134059,false,false
2025-10-23,AA,2964,6.0,17.68874619803988,2846.8,10.8,17.613495357039476,146.96155959978103,13.553597308463905,5.016266799293034,false,false
2025-10-24,AA,2788,89.0,25.411851851851853,2814.4,21.6,17.933876019005044,135.96801094375104,37.686867739306756,5.535269720402706,true,true
2025-10-25,AA,2591,53.0,23.534672970843182,2743.0,31.2,18.396570042327603,141.87846912058222,38.50584371235099,5.959211849910668,false,false
2025-10-26,AA,2952,26.0,36.051264524948735,2797.2,35.6,23.165134490089113,162.53215066564528,35.781280021821466,8.685449055374113,false,true
2025-10-27,AA,2941,17.0,30.791524265208476,2847.2,38.2,26.695611962178425,160.13025947646506,33.29714702493293,7.019044427313515,false,false
2025-10-28,AA,2539,7.0,11.974328593996841,2762.2,38.4,25.552728441369815,192.21524393242072,33.05752561823102,9.029529031084802,false,false
2025-10-29,AA,2627,1.0,12.942878903274943,2730.0,20.8,23.058933851654437,200.13495446822876,20.37645700312005,10.653907498827152,false,false
2025-10-30,AA,2867,74.0,25.167322130854487,2785.2,25.0,23.385463683656695,190.01894642377113,29.008619408720573,10.697065540893286,true,false
2025-10-31,AA,2291,39.0,20.612344582593252,2653.0,27.6,20.2976796951856,261.4651028340111,29.695117443781896,8.020356499944107,false,false
2025-10-01,AS,653,4.0,10.667180277349768,,,,,,,,
2025-10-02,AS,724,7.0,7.822873082287308,,,,,,,,
2025-10-03,AS,737,0.0,9.16010854816825,,,,,,,,
2025-10-04,AS,604,3.0,6.8236272878535775,,,,,,,,
2025-10-05,AS,692,10.0,7.213138686131387,682.0,4.8,8.337385576358058,54.34611301647985,3.8340579025361627,1.5751932238513242,true,false
2025-10-06,AS,705,2.0,9.506401137980085,692.4,4.4,8.105229748484122,52.347874837475494,4.03732584763727,1.1825932481558021,false,true
2025-10-07,AS,631,1.0,7.4714285714285715,673.8,3.2,8.034940846312374,54.77864547430868,3.9623225512317903,1.2136085817288287,false,false
2025-10-08,AS,633,2.0,9.063391442155309,653.0,3.6,8.015597425109785,43.33012808658657,3.6469165057620945,1.1917655589139993,false,false
2025-10-09,AS,708,4.0,7.213068181818182,673.8,3.8,8.093485603902707,38.63547592563082,3.6331804249169903,1.1038736483293285,false,false
2025-10-10,AS,697,5.0,9.97543352601156,674.8,2.8,8.645944571878742,39.283584357845946,1.643167672515499,1.236407179625533,true,true
2025-10-11,AS,596,1.0,10.132773109243697,653.0,2.6,8.771218966131464,47.68123320552855,1.8165902124584954,1.3699102236476326,false,false
2025-10-12,AS,692,8.0,14.413742690058479,665.2,4.0,10.159681789857444,48.44274971551469,2.738612787525831,2.64651137934399,true,true
2025-10-13,AS,705,8.0,15.597421203438396,679.6,5.2,11.466487742114063,47.16248509143679,2.9495762407505253,3.4584873262478917,false,true
2025-10-14,AS,631,1.0,11.517460317460317,664.2,4.6,12.32736616924249,48.13210986441378,3.5071355833500366,2.551960043737139,false,false
2025-10-15,AS,633,0.0,6.459715639810427,651.4,3.6,11.624222592002264,45.676033102711514,4.03732584763727,3.6220050174420533,false,false
2025-10-16,AS,702,0.0,7.1239316239316235,672.6,3.4,11.022454294939848,37.38047618744307,4.219004621945797,4.1440696545314,false,false
2025-10-17,AS,698,1.0,5.820659971305595,673.8,2.0,9.30383775118927,38.24526114435616,3.391164991562634,4.167819162664488,false,false
2025-10-18,AS,597,6.0,8.02027027027027,652.2,1.6,7.788407564555646,45.94235518560187,2.5099800796022267,2.2382233939857192,true,false
2025-10-19,AS,692,7.0,11.287591240875912,664.4,2.8,7.742433749238765,46.9925526014495,3.420526275297414,2.142805395605616,true,true
2025-10-20,AS,705,6.0,8.962804005722461,678.8,4.0,8.243051422421171,45.98586739423319,3.24037034920393,2.0589625661293613,false,false
2025-10-21,AS,631,0.0,7.274167987321712,664.6,4.0,8.27309869509919,47.95101667326772,3.24037034920393,2.0395525973451827,false,false
2025-10-22,AS,629,4.0,5.2688,650.8,4.6,8.162726700838071,45.81702740248432,2.7928480087537886,2.213003855575967,false,false
2025-10-23,AS,703,161.0,54.36050724637681,672.0,35.6,17.43077409605938,38.66522985836241,70.1519778766073,20.762470139400456,true,true
2025-10-24,AS,704,137.0,39.00705467372134,674.4,61.6,22.974666782628468,40.543803472294016,80.2639395992995,22.35198046332128,false,false
2025-10-25,AS,601,11.0,19.016949152542374,653.6,62.6,24.98549581199245,47.07228483938293,79.42480720782393,21.198810025357382,false,false
2025-10-26,AS,682,1.0,11.698972099853156,663.8,62.8,25.870456634498737,46.47257255629389,79.2287826487319,20.349956920827864,false,false
2025-10-27,AS,694,6.0,7.930232558139535,676.8,63.2,26.402743146126642,43.28625647939541,78.86190461813612,19.700823116624385,false,false
2025-10-28,AS,627,4.0,5.486356340288925,661.6,31.8,16.627912964909065,45.09212791607867,58.92113372975778,13.514916426471727,false,false
2025-10-29,AS,633,10.0,17.097444089456868,647.4,6.4,12.245990848056172,39.19566302539098,4.15932686861703,5.78792131773265,false,false
2025-10-30,AS,698,13.0,15.631732168850073,666.8,6.8,11.568947451317712,34.171625656383426,4.764451699828591,4.932685927716283,true,false
2025-10-31,AS,600,2.0,11.100334448160535,650.4,7.0,11.449219920979186,43.46607872813007,4.472135954999529,4.936004967984164,false,false
2025-10-01,B6,535,0.0,7.134579439252336,,,,,,,,
2025-10-02,B6,616,0.0,5.824675324675325,,,,,,,,
2025-10-03,B6,622,0.0,11.763665594855306,,,,,,,,
2025-10-04,B6,547,0.0,7.469835466179159,,,,,,,,
